original_url,id_a,idioma_a,id_b,idioma_b,similitud
https://hitdarderut-haaretz.org/actualia61,es/alternative-commentary61,es,pt/alternative-commentary61,pt,0.9465599060058594
https://hitdarderut-haaretz.org/actualia62,en/alternative-commentary62,en,es/alternative-commentary62,es,0.9436821341514587
https://hitdarderut-haaretz.org/actualia62,en/alternative-commentary62,en,pt/alternative-commentary62,pt,0.8549619317054749
https://hitdarderut-haaretz.org/actualia62,es/alternative-commentary62,es,pt/alternative-commentary62,pt,0.8745282292366028
https://hitdarderut-haaretz.org/actualia63,en/alternative-commentary63,en,es/alternative-commentary63,es,0.9037803411483765
https://hitdarderut-haaretz.org/actualia63,en/alternative-commentary63,en,pt/alternative-commentary63,pt,0.9009586572647095
https://hitdarderut-haaretz.org/actualia63,es/alternative-commentary63,es,pt/alternative-commentary63,pt,0.9189791679382324
https://hitdarderut-haaretz.org/actualia64,en/alternative-commentary64,en,es/alternative-commentary64,es,0.6453298926353455
https://hitdarderut-haaretz.org/actualia64,en/alternative-commentary64,en,pt/alternative-commentary64,pt,0.8416624069213867
https://hitdarderut-haaretz.org/actualia64,es/alternative-commentary64,es,pt/alternative-commentary64,pt,0.7536966800689697
https://hitdarderut-haaretz.org/actualia65,en/alternative-commentary65,en,es/alternative-commentary65,es,0.9433153867721558
https://hitdarderut-haaretz.org/actualia65,en/alternative-commentary65,en,pt/alternative-commentary65,pt,0.9182949066162109
https://hitdarderut-haaretz.org/actualia65,es/alternative-commentary65,es,pt/alternative-commentary65,pt,0.9772630929946899
https://hitdarderut-haaretz.org/actualia66,en/alternative-commentary66,en,es/alternative-commentary66,es,0.8552002310752869
https://hitdarderut-haaretz.org/actualia66,en/alternative-commentary66,en,pt/alternative-commentary66,pt,0.8669060468673706
https://hitdarderut-haaretz.org/actualia66,es/alternative-commentary66,es,pt/alternative-commentary66,pt,0.8774856925010681
https://hitdarderut-haaretz.org/actualia68,en/alternative-commentary68,en,es/alternative-commentary68,es,0.9329193234443665
https://hitdarderut-haaretz.org/actualia68,en/alternative-commentary68,en,pt/alternative-commentary68,pt,0.928524374961853
https://hitdarderut-haaretz.org/actualia68,es/alternative-commentary68,es,pt/alternative-commentary68,pt,0.9798110723495483
https://hitdarderut-haaretz.org/actualia69,en/alternative-commentary69,en,es/alternative-commentary69,es,0.7848247289657593
https://hitdarderut-haaretz.org/actualia69,en/alternative-commentary69,en,pt/alternative-commentary69,pt,0.7513636350631714
https://hitdarderut-haaretz.org/actualia69,es/alternative-commentary69,es,pt/alternative-commentary69,pt,0.8838793039321899
https://hitdarderut-haaretz.org/actualia7,en/alternative-commentary7,en,es/alternative-commentary7,es,0.9037871360778809
https://hitdarderut-haaretz.org/actualia7,en/alternative-commentary7,en,pt/alternative-commentary7,pt,0.8961474895477295
https://hitdarderut-haaretz.org/actualia7,es/alternative-commentary7,es,pt/alternative-commentary7,pt,0.9850486516952515
https://hitdarderut-haaretz.org/actualia70,en/alternative-commentary70,en,es/alternative-commentary70,es,0.8212813138961792
https://hitdarderut-haaretz.org/actualia70,en/alternative-commentary70,en,pt/alternative-commentary70,pt,0.884872317314148
https://hitdarderut-haaretz.org/actualia70,es/alternative-commentary70,es,pt/alternative-commentary70,pt,0.8760021924972534
https://hitdarderut-haaretz.org/actualia71,en/alternative-commentary71,en,es/alternative-commentary71,es,0.967795729637146
https://hitdarderut-haaretz.org/actualia71,en/alternative-commentary71,en,pt/alternative-commentary71,pt,0.9451925158500671
https://hitdarderut-haaretz.org/actualia71,es/alternative-commentary71,es,pt/alternative-commentary71,pt,0.9607998132705688
https://hitdarderut-haaretz.org/actualia72,en/alternative-commentary72,en,es/alternative-commentary72,es,0.9395508766174316
https://hitdarderut-haaretz.org/actualia72,en/alternative-commentary72,en,pt/alternative-commentary72,pt,0.8839061260223389
https://hitdarderut-haaretz.org/actualia72,es/alternative-commentary72,es,pt/alternative-commentary72,pt,0.9286017417907715
https://hitdarderut-haaretz.org/actualia75,en/alternative-commentary75,en,es/alternative-commentary75,es,0.919070839881897
https://hitdarderut-haaretz.org/actualia75,en/alternative-commentary75,en,pt/alternative-commentary75,pt,0.9292306900024414
https://hitdarderut-haaretz.org/actualia75,es/alternative-commentary75,es,pt/alternative-commentary75,pt,0.9609788060188293
https://hitdarderut-haaretz.org/actualia76,en/alternative-commentary76,en,es/alternative-commentary76,es,0.8557916283607483
https://hitdarderut-haaretz.org/actualia76,en/alternative-commentary76,en,pt/alternative-commentary76,pt,0.8917701840400696
